t1,d1,s1,s2,s3,s4,s5,s6,s7,b1,b2,n1,n2,n3
21,2013/8/23,01,09,13,15,25,30,33,19,28,1,8億円！,1億円
20,2013/8/16,02,05,13,20,21,23,28,11,22,0,該当なし,5億円
19,2013/8/9,02,14,19,20,21,22,31,01,15,0,該当なし,2億円
18,2013/8/2,12,17,21,24,29,31,36,20,26,4,1億3899万円,0円
17,2013/7/26,02,03,05,22,34,36,37,07,15,0,該当なし,3億円
16,2013/7/19,05,06,09,13,16,21,23,08,34,1,2億5931万円,0円
15,2013/7/12,02,10,14,17,23,25,35,08,29,2,1億3924万円,0円
14,2013/7/5,04,07,08,09,24,28,30,34,36,2,3億1697万円,0円
13,2013/6/28,06,10,16,21,27,28,35,15,34,0,該当なし,3億円
12,2013/6/21,11,12,14,19,26,27,33,24,32,1,2億9653万円,0円
11,2013/6/14,09,15,26,29,32,34,36,14,35,1,7億767万円,0円
10,2013/6/7,01,02,03,06,24,28,30,16,20,0,該当なし,3億円
9,2013/5/31,03,04,15,23,27,30,36,13,35,2,3億8011万円,0円
8,2013/5/24,02,21,28,29,30,32,36,06,08,0,該当なし,4億円
7,2013/5/17,01,03,05,07,27,29,33,06,15,3,8億円！,4千万円
6,2013/5/10,05,15,19,23,30,34,35,06,25,0,該当なし,20億円
5,2013/5/3,01,03,04,05,16,21,28,22,31,0,該当なし,15億円
4,2013/4/26,12,13,22,23,24,28,29,02,14,0,該当なし,11億円
3,2013/4/19,02,07,08,11,14,23,31,05,15,0,該当なし,6億円
2,2013/4/12,20,24,29,31,33,34,35,12,32,0,該当なし,2億円
1,2013/4/5,07,10,12,17,23,28,34,03,15,1,3億171万円,0円
