1574
http://l2/l6.php
G_num_filter=[ 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 20, 25, 27, 29, 31, 36, 40, 41, 42]

DEL date	(x1)	(x2)	(x3)	(x4)	(x5)	(x6)	(x7)	SetItem(5)	レ7
2021/4/5	4	5	13	19	36	40	8	SetItem(5)	101
2021/4/5	4	13	15	18	19	29	7	SetItem(5)	107
2021/4/5	6	8	12	25	29	42	33	SetItem(5)	122
2021/4/5	9	11	13	16	20	27	25	SetItem(5)	124
2021/4/5	11	12	14	16	31	41	27	SetItem(5)	92
2021/4/5	1	2	7	10	35	39	0	SetItem(5)	62
2021/4/5	3	17	21	23	33	37	0	SetItem(5)	63
2021/4/5	22	26	28	32	34	38	0	SetItem(5)	70
