select z1-z1%10000,z1-z1%10000+10000,count(z1-z1%10000) from loto7 group by (z1-z1%10000);
+-------------+-------------------+--------------------+
| z1-z1%10000 | z1-z1%10000+10000 | count(z1-z1%10000) |
| 5010000     | 5020000           | 1                  |
| 5020000     | 5030000           | 2                  |
| 5040000     | 5050000           | 1                  |
| 5070000     | 5080000           | 2                  |
| 5090000     | 5100000           | 1                  |
| 5100000     | 5110000           | 1                  |
| 5120000     | 5130000           | 2                  |
| 5140000     | 5150000           | 1                  |
| 5170000     | 5180000           | 1                  |
| 5200000     | 5210000           | 2                  |
| 5270000     | 5280000           | 1                  |
| 5280000     | 5290000           | 1                  |
| 5290000     | 5300000           | 1                  |
| 5300000     | 5310000           | 1                  |
| 5350000     | 5360000           | 1                  |
| 5370000     | 5380000           | 2                  |
| 5390000     | 5400000           | 1                  |
| 5420000     | 5430000           | 1                  |
| 5480000     | 5490000           | 2                  |
| 5490000     | 5500000           | 2                  |
| 5530000     | 5540000           | 1                  |
| 5540000     | 5550000           | 1                  |
| 5550000     | 5560000           | 1                  |
| 5580000     | 5590000           | 1                  |
| 5610000     | 5620000           | 1                  |
| 5620000     | 5630000           | 1                  |
| 5640000     | 5650000           | 1                  |
| 5650000     | 5660000           | 1                  |
| 5660000     | 5670000           | 1                  |
| 5670000     | 5680000           | 1                  |
| 5720000     | 5730000           | 1                  |
| 5730000     | 5740000           | 2                  |
| 5770000     | 5780000           | 1                  |
| 5790000     | 5800000           | 1                  |
| 5800000     | 5810000           | 1                  |
| 5810000     | 5820000           | 1                  |
| 5840000     | 5850000           | 1                  |
| 5860000     | 5870000           | 2                  |
| 5870000     | 5880000           | 1                  |
| 5890000     | 5900000           | 1                  |
| 5900000     | 5910000           | 1                  |
| 5910000     | 5920000           | 1                  |
| 5920000     | 5930000           | 1                  |
| 5930000     | 5940000           | 1                  |
| 5960000     | 5970000           | 1                  |
| 5980000     | 5990000           | 1                  |
| 6010000     | 6020000           | 2                  |
| 6080000     | 6090000           | 1                  |
| 6090000     | 6100000           | 1                  |
| 6100000     | 6110000           | 1                  |
| 6110000     | 6120000           | 1                  |
| 6130000     | 6140000           | 2                  |
| 6160000     | 6170000           | 1                  |
| 6180000     | 6190000           | 2                  |
| 6240000     | 6250000           | 2                  |
| 6250000     | 6260000           | 1                  |
| 6260000     | 6270000           | 1                  |
| 6350000     | 6360000           | 1                  |
| 6380000     | 6390000           | 1                  |
| 6390000     | 6400000           | 1                  |
| 6420000     | 6430000           | 1                  |
| 6460000     | 6470000           | 1                  |
| 6530000     | 6540000           | 2                  |
| 6560000     | 6570000           | 1                  |
| 6590000     | 6600000           | 1                  |
| 6610000     | 6620000           | 1                  |
| 6640000     | 6650000           | 1                  |
| 6750000     | 6760000           | 1                  |
| 6760000     | 6770000           | 2                  |
| 6800000     | 6810000           | 1                  |
| 6830000     | 6840000           | 1                  |
| 6840000     | 6850000           | 1                  |
| 6880000     | 6890000           | 1                  |
| 6900000     | 6910000           | 1                  |
| 6910000     | 6920000           | 1                  |
| 6950000     | 6960000           | 2                  |
| 6970000     | 6980000           | 1                  |
| 6980000     | 6990000           | 2                  |
| 6990000     | 7000000           | 1                  |
| 7010000     | 7020000           | 1                  |
| 7030000     | 7040000           | 1                  |
| 7090000     | 7100000           | 1                  |
| 7130000     | 7140000           | 1                  |
| 7140000     | 7150000           | 1                  |
| 7180000     | 7190000           | 1                  |
| 7200000     | 7210000           | 1                  |
| 7210000     | 7220000           | 1                  |
| 7230000     | 7240000           | 1                  |
| 7240000     | 7250000           | 1                  |
| 7250000     | 7260000           | 1                  |
| 7310000     | 7320000           | 1                  |
| 7340000     | 7350000           | 1                  |
| 7360000     | 7370000           | 1                  |
| 7390000     | 7400000           | 2                  |
| 7400000     | 7410000           | 2                  |
| 7450000     | 7460000           | 1                  |
| 7490000     | 7500000           | 1                  |
| 7510000     | 7520000           | 1                  |
| 7540000     | 7550000           | 1                  |
| 7580000     | 7590000           | 2                  |
| 7610000     | 7620000           | 1                  |
| 7620000     | 7630000           | 2                  |
| 7670000     | 7680000           | 1                  |
| 7680000     | 7690000           | 1                  |
| 7690000     | 7700000           | 2                  |
| 7740000     | 7750000           | 1                  |
| 7790000     | 7800000           | 2                  |
| 7800000     | 7810000           | 1                  |
| 7810000     | 7820000           | 1                  |
| 7820000     | 7830000           | 1                  |
| 7850000     | 7860000           | 1                  |
| 7870000     | 7880000           | 1                  |
| 7900000     | 7910000           | 1                  |
| 7920000     | 7930000           | 1                  |
| 7940000     | 7950000           | 1                  |
| 7970000     | 7980000           | 1                  |
| 7990000     | 8000000           | 2                  |
| 8080000     | 8090000           | 1                  |
| 8090000     | 8100000           | 1                  |
| 8110000     | 8120000           | 1                  |
| 8120000     | 8130000           | 1                  |
| 8130000     | 8140000           | 1                  |
| 8140000     | 8150000           | 1                  |
| 8170000     | 8180000           | 1                  |
| 8180000     | 8190000           | 1                  |
| 8250000     | 8260000           | 1                  |
| 8260000     | 8270000           | 1                  |
| 8300000     | 8310000           | 2                  |
| 8320000     | 8330000           | 1                  |
| 8390000     | 8400000           | 1                  |
| 8430000     | 8440000           | 1                  |
| 8440000     | 8450000           | 1                  |
| 8470000     | 8480000           | 1                  |
| 8480000     | 8490000           | 1                  |
| 8530000     | 8540000           | 1                  |
| 8560000     | 8570000           | 1                  |
| 8580000     | 8590000           | 3                  |
| 8590000     | 8600000           | 1                  |
| 8610000     | 8620000           | 1                  |
| 8620000     | 8630000           | 1                  |
| 8630000     | 8640000           | 1                  |
| 8650000     | 8660000           | 1                  |
| 8670000     | 8680000           | 2                  |
| 8690000     | 8700000           | 1                  |
| 8720000     | 8730000           | 1                  |
| 8760000     | 8770000           | 1                  |
| 8770000     | 8780000           | 1                  |
| 8790000     | 8800000           | 1                  |
| 8800000     | 8810000           | 2                  |
| 8820000     | 8830000           | 1                  |
| 8830000     | 8840000           | 1                  |
| 8840000     | 8850000           | 1                  |
| 8860000     | 8870000           | 1                  |
| 8880000     | 8890000           | 1                  |
| 8890000     | 8900000           | 1                  |
| 8950000     | 8960000           | 2                  |
| 9000000     | 9010000           | 3                  |
| 9020000     | 9030000           | 2                  |
| 9030000     | 9040000           | 1                  |
| 9040000     | 9050000           | 1                  |
| 9080000     | 9090000           | 1                  |
